clockTime,deltaTime,absolutePosition,useStiffness
0,1.2,200,0
1.2,0.8,-25,0
2,1.2,200,0
3.2,0.8,-25,0
4,1.2,200,0
5.2,0.8,-25,0
6,1.2,200,0
7.2,0.8,-25,0
8,1.2,200,0
9.2,0.8,-25,0
10,1.2,200,0
11.2,0.8,-25,0
12,1.2,200,0
13.2,0.8,-25,0
14,1.2,200,0
15.2,0.8,-25,0
16,1.2,200,0
17.2,0.8,-25,0
18,1.2,200,0
19.2,0.8,-25,0
20,1.2,200,0
21.2,0.8,-25,0
22,1.2,200,0
23.2,0.8,-25,0
24,1.2,200,0
25.2,0.8,-25,0
26,1.2,200,0
27.2,0.8,-25,0
28,1.2,200,0
29.2,0.8,-25,0
30,1.2,200,0
31.2,0.8,-25,0
32,1.2,200,0
33.2,0.8,-25,0
34,1.2,200,0
35.2,0.8,-25,0
36,1.2,200,0
37.2,0.8,-25,0
38,1.2,200,0
39.2,0.8,-25,0
40,1.2,200,0
41.2,0.8,-25,0
42,1.2,200,0
43.2,0.8,-25,0
44,1.2,200,0
45.2,0.8,-25,0
46,1.2,200,0
47.2,0.8,-25,0
48,1.2,200,0
49.2,0.8,-25,0
50,1.2,200,0
51.2,0.8,-25,0
52,1.2,200,0
53.2,0.8,-25,0
54,1.2,200,0
55.2,0.8,-25,0
56,1.2,200,0
57.2,0.8,-25,0
58,1.2,200,0
59.2,0.8,-25,0
60,1.2,200,0
61.2,0.8,-25,0
62,1.2,200,0
63.2,0.8,-25,0
64,1.2,200,0
65.2,0.8,-25,0
66,1.2,200,0
67.2,0.8,-25,0
68,1.2,200,0
69.2,0.8,-25,0
70,1.2,200,0
71.2,0.8,-25,0
72,1.2,200,0
73.2,0.8,-25,0
74,1.2,200,0
75.2,0.8,-25,0
76,1.2,200,0
77.2,0.8,-25,0
78,1.2,200,0
79.2,0.8,-25,0
80,1.2,200,0
81.2,0.8,-25,0
82,1.2,200,0
83.2,0.8,-25,0
84,1.2,200,0
85.2,0.8,-25,0
86,1.2,200,0
87.2,0.8,-25,0
88,1.2,200,0
89.2,0.8,-25,0
90,1.2,200,0
91.2,0.8,-25,0
92,1.2,200,0
93.2,0.8,-25,0
94,1.2,200,0
95.2,0.8,-25,0
96,1.2,200,0
97.2,0.8,-25,0
98,1.2,200,0
99.2,0.8,-25,0
101,1,0,0
