clockTime,deltaTime,absolutePosition,useStiffness
0,1.71428571428571,50,0
1.71428571428571,2.28571428571429,-250,0
4,1.71428571428571,50,0
5.71428571428571,2.28571428571429,-250,0
8,1.71428571428571,50,0
9.71428571428571,2.28571428571429,-250,0
12,1.71428571428571,50,0
13.7142857142857,2.28571428571429,-250,0
16,1.71428571428571,50,0
17.7142857142857,2.28571428571429,-250,0
20,1.71428571428571,50,0
21.7142857142857,2.28571428571429,-250,0
24,1.71428571428571,50,0
25.7142857142857,2.28571428571429,-250,0
28,1.71428571428571,50,0
29.7142857142857,2.28571428571429,-250,0
32,1.71428571428571,50,0
33.7142857142857,2.28571428571429,-250,0
36,1.71428571428571,50,0
37.7142857142857,2.28571428571429,-250,0
40,1.71428571428571,50,0
41.7142857142857,2.28571428571429,-250,0
44,1.71428571428571,50,0
45.7142857142857,2.28571428571429,-250,0
48,1.71428571428571,50,0
49.7142857142857,2.28571428571429,-250,0
52,1.71428571428571,50,0
53.7142857142857,2.28571428571429,-250,0
56,1.71428571428571,50,0
57.7142857142857,2.28571428571429,-250,0
60,1.71428571428571,50,0
61.7142857142857,2.28571428571429,-250,0
64,1.71428571428571,50,0
65.7142857142857,2.28571428571429,-250,0
68,1.71428571428571,50,0
69.7142857142857,2.28571428571429,-250,0
72,1.71428571428571,50,0
73.7142857142857,2.28571428571429,-250,0
76,1.71428571428571,50,0
77.7142857142857,2.28571428571429,-250,0
80,1.71428571428571,50,0
81.7142857142857,2.28571428571429,-250,0
84,1.71428571428571,50,0
85.7142857142857,2.28571428571429,-250,0
88,1.71428571428571,50,0
89.7142857142857,2.28571428571429,-250,0
92,1.71428571428571,50,0
93.7142857142857,2.28571428571429,-250,0
96,1.71428571428571,50,0
97.7142857142857,2.28571428571429,-250,0
102,2,0,0
