clockTime,deltaTime,absolutePosition,useStiffness
0,1.33333333333333,50,0
1.33333333333333,2.66666666666667,-250,0
4,1.33333333333333,50,0
5.33333333333333,2.66666666666667,-250,0
8,1.33333333333333,50,0
9.33333333333333,2.66666666666667,-250,0
12,1.33333333333333,50,0
13.3333333333333,2.66666666666667,-250,0
16,1.33333333333333,50,0
17.3333333333333,2.66666666666667,-250,0
20,1.33333333333333,50,0
21.3333333333333,2.66666666666667,-250,0
24,1.33333333333333,50,0
25.3333333333333,2.66666666666667,-250,0
28,1.33333333333333,50,0
29.3333333333333,2.66666666666667,-250,0
32,1.33333333333333,50,0
33.3333333333333,2.66666666666667,-250,0
36,1.33333333333333,50,0
37.3333333333333,2.66666666666667,-250,0
40,1.33333333333333,50,0
41.3333333333333,2.66666666666667,-250,0
44,1.33333333333333,50,0
45.3333333333333,2.66666666666667,-250,0
48,1.33333333333333,50,0
49.3333333333333,2.66666666666667,-250,0
52,1.33333333333333,50,0
53.3333333333333,2.66666666666667,-250,0
56,1.33333333333333,50,0
57.3333333333333,2.66666666666667,-250,0
60,1.33333333333333,50,0
61.3333333333333,2.66666666666667,-250,0
64,1.33333333333333,50,0
65.3333333333333,2.66666666666667,-250,0
68,1.33333333333333,50,0
69.3333333333333,2.66666666666667,-250,0
72,1.33333333333333,50,0
73.3333333333333,2.66666666666667,-250,0
76,1.33333333333333,50,0
77.3333333333333,2.66666666666667,-250,0
80,1.33333333333333,50,0
81.3333333333333,2.66666666666667,-250,0
84,1.33333333333333,50,0
85.3333333333333,2.66666666666667,-250,0
88,1.33333333333333,50,0
89.3333333333333,2.66666666666667,-250,0
92,1.33333333333333,50,0
93.3333333333333,2.66666666666667,-250,0
96,1.33333333333333,50,0
97.3333333333333,2.66666666666667,-250,0
102,2,0,0
